"id","name","product_id/id","partner_id/id","active","normal_price","service_code","service_output","container_usps","first_class_mail_type_usps","size_usps","is_canadapost","is_fedex","is_ups","is_usps"
"shipping_bista.dlv_usps_fc","USPS First-Class","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"First Class","First-Class Mail",,,"REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_fc_package","USPS First-Class Mail Package","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"First Class","First-Class Mail Package","Parcel","Parcel","REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_library","USPS Library Mail","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Library","Library Mail","Parcel",,"REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_media","USPS Media Mail","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Media","Media Mail","Parcel",,"REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_parcel_post","USPS Parcel Post","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Parcel","Parcel Post","Parcel",,"REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_priority","USPS Priority Mail","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Priority","Priority Mail","Parcel",,"REGULAR","False","False","False","True"
"shipping_bista.dlv_usps_priority_sfrb","USPS Priority Mail Small Flat Rate Box","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Priority","Priority Mail Small Flat Rate Box","SM Flat Rate Box",,"REGULAR","False","False","False","True"
"__export__.delivery_carrier_25","UPS Ground","shipping_bista.product_product_shipping","shipping_bista.partner_ups","True",,"3","Ground",,,,"False","False","True","False"
"__export__.delivery_carrier_26","UPS 2nd Day Air","shipping_bista.product_product_shipping","shipping_bista.partner_ups","True",,"2","Second Day Air",,,,"False","False","True","False"
"__export__.delivery_carrier_27","UPS Next Day Air Saver","shipping_bista.product_product_shipping","shipping_bista.partner_ups","True",,"13","Next Day Air Saver",,,,"False","False","True","False"
"__export__.delivery_carrier_28","UPS Next Day Air Saver","shipping_bista.product_product_shipping","shipping_bista.partner_ups","True",,"1","Next Day Air",,,,"False","False","True","False"
"__export__.delivery_carrier_29","UPS Next Day Air Early AM","shipping_bista.product_product_shipping","shipping_bista.partner_ups","True",,"14","Next Day Air Early AM",,,,"False","False","True","False"
"__export__.delivery_carrier_30","FedEx Ground","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_GROUND","FEDEX_GROUND",,,,"False","True","False","False"
"__export__.delivery_carrier_31","FedEx Express Saver","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_EXPRESS_SAVER","FEDEX_EXPRESS_SAVER",,,,"False","True","False","False"
"__export__.delivery_carrier_32","FedEx 2 Day","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_2_DAY","FEDEX_2_DAY",,,,"False","True","False","False"
"__export__.delivery_carrier_33","FedEx Standard Overnight","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"STANDARD_OVERNIGHT","STANDARD_OVERNIGHT",,,,"False","True","False","False"
"__export__.delivery_carrier_34","FedEx Priority Overnight","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"PRIORITY_OVERNIGHT","PRIORITY_OVERNIGHT",,,,"False","True","False","False"
"__export__.delivery_carrier_35","FedEx First Day Freight","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_1_DAY_FREIGHT","FEDEX_1_DAY_FREIGHT",,,,"False","True","False","False"
"__export__.delivery_carrier_36","FedEx Second Day Freight","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_2_DAY_FREIGHT","FEDEX_2_DAY_FREIGHT",,,,"False","True","False","False"
"__export__.delivery_carrier_37","FedEx Third Day Freight","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_3_DAY_FREIGHT","FEDEX_3_DAY_FREIGHT",,,,"False","True","False","False"
"__export__.delivery_carrier_38","FEDEX_INTERNATIONAL_ECONOMY","shipping_bista.product_product_shipping","shipping_bista.partner_fedex","True",,"FEDEX_INTERNATIONAL_ECONOMY","FEDEX_INTERNATIONAL_ECONOMY",,,,"False","True","False","False"
"__export__.delivery_carrier_39","USPS Express Mail","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Express","Express Mail","Parcel",,"REGULAR","False","False","False","True"
"__export__.delivery_carrier_40","USPS Express Mail Flat Rate Envelope","shipping_bista.product_product_shipping","shipping_bista.partner_usps","True",,"Express","Express Mail® Flat Rate Envelope","Flat Rate Envelope",,,"False","False","False","True"
